URL,Size,# of outlinks,Content-type
https://www.foxnews.com/world/india-taj-mahal-foul-smell-trump-visit,69573,171,TEXT/HTML
https://www.foxnews.com/category/news-events/fox-news-investigates,64505,176,TEXT/HTML
https://www.foxnews.com/lifestyle/walking-10000-steps-wont-aid-weight-loss-study,67166,168,TEXT/HTML
https://www.foxnews.com/entertainment/meghan-markle-jessica-mulroney-registers-website-sussex-global-charities,78234,186,TEXT/HTML
https://www.foxnews.com/family,108521,234,TEXT/HTML
https://www.foxnews.com/politics,117687,220,TEXT/HTML
https://www.foxnews.com/great-outdoors/oklahoma-catch-and-release-law-forces-angler-to-let-go-of-monstrous-157-lb-paddlefish,66943,168,TEXT/HTML
https://www.foxnews.com/donotsell,36822,148,TEXT/HTML
https://www.foxnews.com/category/entertainment/style,62405,176,TEXT/HTML
https://www.foxnews.com/official-polls,44659,154,TEXT/HTML
https://www.foxnews.com/food-drink/margarita-recipes-perfect-for-national-margarita-day,74193,171,TEXT/HTML
https://www.foxnews.com/politics/bernie-sanders-fidel-castro-cuba-socialist-defense,79818,173,TEXT/HTML
https://www.foxnews.com/lifestyle/pregnant-model-quizzed-bathroom-bodysuit,70126,170,TEXT/HTML
https://www.foxnews.com/category/health/medical-research,62333,176,TEXT/HTML
https://www.foxnews.com/entertainment/kelly-ripa-mark-consuelis-throwback-photo-2001,72681,182,TEXT/HTML
https://www.foxnews.com/media/mike-slater-gavin-newsom-homeless-crisis-prescription-housing,73687,169,TEXT/HTML
https://www.foxnews.com/compliance,35153,149,TEXT/HTML
https://www.foxnews.com/category/politics/elections,68635,178,TEXT/HTML
https://www.foxnews.com/food-drink/where-was-the-margarita-invented,75741,178,TEXT/HTML
https://www.foxnews.com/real-estate/fixer-upper-chip-joanna-gaines-show-waco,81565,170,TEXT/HTML
https://www.foxnews.com/category/health/heart-health,61763,176,TEXT/HTML
https://www.foxnews.com/category/world/terrorism,63791,175,TEXT/HTML
https://www.foxnews.com/category/media/fox-news-flash,58857,173,TEXT/HTML
https://www.foxnews.com/media/ga-college-student-writes-to-bloomberg-on-farming,73067,173,TEXT/HTML
https://www.foxnews.com/category/real-estate,60949,176,TEXT/HTML
https://www.foxnews.com/lifestyle/bride-slammed-for-not-wanting-bridesmaids-crop-top-appearance,72338,172,TEXT/HTML
https://www.foxnews.com/food-drink/teacher-reveal-students-morning-coffee,69116,172,TEXT/HTML
https://www.foxnews.com/tech/10-sites-to-watch-movies-for-free,85366,171,TEXT/HTML
https://www.foxnews.com/politics/trump-heads-to-india-where-massive-rally-and-taj-mahal-visit-await-what-to-know,84757,177,TEXT/HTML
